1	1	1
1	2	2
1	3	3
1	4	4
1	5	5
1	6	6
1	7	7
1	8	8
1	9	9
1	10	10
1	11	11
1	12	12
1	13	13
1	14	14
1	27	15
1	28	16
1	29	17
1	30	18
1	31	19
1	32	20
1	33	21
1	34	22
1	35	23
1	36	24
1	37	25
1	38	26
1	39	27
1	52	28
1	53	29
1	54	30
1	55	31
1	56	32
1	65	33
1	66	34
1	67	35
1	68	36
1	69	37
1	70	38
1	71	39
1	72	40
1	73	41
1	74	42
1	88	43
1	89	44
1	90	45
1	91	46
1	92	47
1	93	48
1	94	49
1	107	50
1	108	51
1	109	52
1	110	53
1	111	54
1	112	55
1	113	56
1	114	57
1	115	58
1	116	59
1	117	60
1	118	61
1	119	62
1	132	63
1	133	64
1	134	65
1	135	66
1	136	67
1	137	68
1	138	69
1	138	70
1	139	71
1	140	72
1	141	73
1	142	74
1	152	75
1	153	76
1	154	77
1	155	78
1	156	79
1	157	80
1	158	81
1	159	82
1	162	83
1	163	84
1	164	85
1	165	86
1	166	87
1	167	88
1	168	89
1	169	90
1	170	91
1	171	92
1	172	93
1	173	94
1	174	95
1	191	96
1	192	97
1	193	98
1	194	99
1	195	100
0	16	1
0	17	2
0	18	3
0	19	4
0	20	5
0	21	6
0	22	7
0	22	8
0	23	9
0	24	10
0	25	11
0	26	12
0	39	13
0	40	14
0	41	15
0	42	16
0	43	17
0	44	18
0	45	19
0	46	20
0	47	21
0	48	22
0	49	23
0	50	24
0	56	25
0	57	26
0	58	27
0	59	28
0	60	29
0	61	30
0	62	31
0	63	32
0	64	33
0	75	34
0	76	35
0	77	36
0	78	37
0	79	38
0	80	39
0	81	40
0	82	41
0	83	42
0	84	43
0	85	44
0	86	45
0	95	46
0	96	47
0	97	48
0	98	49
0	99	50
0	100	51
0	101	52
0	102	53
0	103	54
0	104	55
0	105	56
0	106	57
0	107	58
0	120	59
0	121	60
0	122	61
0	123	62
0	124	63
0	125	64
0	125	65
0	126	66
0	127	67
0	128	68
0	129	69
0	130	70
0	143	71
0	144	72
0	145	73
0	146	74
0	147	75
0	148	76
0	149	77
0	150	78
0	159	79
0	160	80
0	175	81
0	176	82
0	177	83
0	178	84
0	179	85
0	180	86
0	181	87
0	182	88
0	183	89
0	184	90
0	185	91
0	186	92
0	187	93
0	188	94
0	189	95
0	190	96
0	191	97
0	196	98
0	197	99
0	198	100
